year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2010,1.57,,,,,,,,,,,,,,,,,,,
2011,1.76,,,,,,,,,,,,,,,,,,,
2012,1.88,,,,,,,,,,,,,,,,,,,
2013,1.94,,,,,,,,,,,,,,,,,,,
2014,2.02,0.063,,,,0.027,0.3,6,3.9,,,,0.896,,,,,,,
2015,2.08,0.059,,,,0.027,0.335,6.1,3.8,,,,0.877,,,,,,,
2016,2.06,0.056,,,,0.028,0.373,5.5,3.7,,,,0.876,,,,,,,
2017,2.06,0.062,,,,0.03,0.364,5.7,4.3,,,,0.902,,,,,,,
2018,2.12,0.062,,,,0.029,0.369,5.9,4.2,,,,0.915,,,,,,,
2019,2.13,0.058,,,,0.03,0.363,5.2,4.2,,,,0.919,,,,,,,
2020,2.21,0.057,,,,0.027,0.329,4.3,4.1,,,,0.917,,,,,,,
2021,2.38,0.057,,,,0.022,0.36,5.7,3.8,,,,0.932,,,,,,,
2022,2.37,0.058,,,,0.025,0.363,5.2,3.8,,,,0.946,,,,,,,
