year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2007,1.01,,,,,,,,,,,,,,,,,,,
2008,1.25,,,,,,,,,,,,,,,,,,,
2009,1.09,,,,,,,,,,,,,,,,,,,
2010,1.17,,,,,,,,,,,,,,,,,,,
2011,1.33,,,,,,,,,,,,,,,,,,,
2012,1.31,,,,,,,,,,,,,,,,,,,
2013,1.48,0.05,,,,0.026,0.326,8.5,4.8,,,,0.982,,,,,,,
2014,1.63,0.059,,,,0.033,0.287,5.6,9,,,,0.959,,,,,,,
2015,1.77,0.058,,,,0.03,0.277,6.3,6.1,,,,0.951,,,,,,,
2016,1.65,0.053,,,,0.028,0.353,6,5,,,,0.959,,,,,,,
2017,1.60,0.058,,,,0.025,0.284,5.8,5.5,,,,0.954,,,,,,,
2018,1.58,0.065,,,,0.027,0.354,5.3,5.3,,,,0.975,,,,,,,
2019,1.55,0.052,,,,0.03,0.367,5,3.8,,,,0.967,,,,,,,
2020,1.49,0.036,,,,0.028,0.318,3.7,3.7,,,,0.941,,,,,,,
2021,1.56,0.048,,,,0.026,0.377,4.9,2.6,,,,0.964,,,,,,,
2022,1.38,0.052,,,,0.03,0.396,3.8,3.3,,,,0.95,,,,,,,
