year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2009,1.39,,,,,,,,,,,,,,,,,,,
2010,1.41,,,,,,,,,,,,,,,,,,,
2011,1.48,,,,,,,,,,,,,,,,,,,
2012,1.57,,,,,,,,,,,,,,,,,,,
2013,1.63,0.059,,,,0.015,0.33,9.4,10.6,,,,1,,,,,,,
2014,1.71,0.062,,,,0.014,0.352,10.1,9.4,,,,1,,,,,,,
2015,1.69,0.059,,,,0.016,0.353,9.4,9.1,,,,1,,,,,,,
2016,1.72,0.062,,,,0.014,0.363,8.7,8.4,,,,1,,,,,,,
2017,1.76,0.059,,,,0.01,0.364,11.3,7.9,,,,1,,,,,,,
2018,1.88,0.056,,,,0.01,0.361,13.7,7.1,,,,0.99,,,,,,,
2019,1.95,0.055,,,,0.008,0.371,14.1,6.5,,,,0.997,,,,,,,
2020,1.96,0.057,,,,0.005,0.385,17.2,5.7,,,,0.997,,,,,,,
2021,2.37,0.049,,,,0.005,0.354,21.5,17.3,,,,0.997,,,,,,,
2022,2.33,0.055,,,,0.01,0.364,18.3,17,,,,0.997,,,,,,,
