year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2002,1.03,,,,,,,,,,,,,,,,,,,
2003,1.07,,,,,,,,,,,,,,,,,,,
2004,1.34,,,,,,,,,,,,,,,,,,,
2005,1.66,,,,,,,,,,,,,,,,,,,
2006,1.91,,,,,,,,,,,,,,,,,,,
2007,2.21,,,,,,,,,,,,,,,,,,,
2008,2.41,,,,,,,,,,,,,,,,,,,
2009,1.54,,,,,,,,,,,,,,,,,,,
2010,1.530,,,,,,,,,,,,,,,,,,,
2011,1.560,,,,,,,,,,,,,,,,,,,
2012,1.650,,,,,,,,,,,,,,,,,,,
2013,1.740,,0.057,,,0.034,0.353,4.2,,,,,,0.985,,,,,,
2014,1.810,,0.06,,,0.033,0.354,4.5,,,,,,0.99,,,,,,
2015,1.890,,0.056,,,0.035,0.338,4.8,,2.1,,,,0.976,,,,,,
2016,1.890,,0.056,,,0.032,0.348,4.8,,2,,,,0.985,,,,,,
2017,1.950,,0.053,,,0.032,0.342,4.8,,1.9,,,,0.992,,,,,,
2018,2.020,,0.055,,,0.031,0.342,5.3,,1.9,,,,0.992,,,,,,
2019,2.110,,0.055,,,0.032,0.329,4.7,,2.1,,,,0.99,,,,,,
2020,2.010,,0.043,0.007,0.023,0.028,0.389,3.8,,1.8,2.9,4.7,,0.98,0.95,0.978,,,,
2021,2.060,,0.051,0.035,0.047,0.023,0.372,4.1,,1.9,3.2,5,,0.968,0.915,0.96,,,,
2022,2.120,,0.055,0.033,0.049,0.027,0.404,3.7,,2.2,3.8,5.2,,0.983,0.944,0.971,,,,
