year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2010,1.29,,,,,,,,,,,,,,,,,,,
2011,1.4,,,,,,,,,,,,,,,,,,,
2012,1.53,,,,,,,,,,,,,,,,,,,
2013,1.77,0.055,,,,0.027,0.276,6.2,1.6,,,,0.985,,,,,,,
2014,1.85,0.047,,,,0.025,0.293,6.2,1.4,,,,0.998,,,,,,,
2015,1.91,0.053,,,,0.024,0.282,6.6,1.5,,,,0.96,,,,,,,
2016,1.93,0.052,,,,0.021,0.283,7.4,1.4,,,,0.894,,,,,,,
2017,2.02,0.049,,,,0.023,0.29,6.8,1.7,,,,0.92,,,,,,,
2018,2.08,0.05,,,,0.026,0.286,6.3,1.7,,,,0.947,,,,,,,
2019,2.21,0.049,,,,0.026,0.329,4.5,1.7,,,,0.965,,,,,,,
2020,2.27,0.04,,,,0.024,0.359,5,1.6,,,,0.949,,,,,,,
2021,2.30,0.045,,,,0.022,0.333,5.1,1.6,,,,0.973,,,,,,,
2022,2.33,0.048,,,,0.025,0.33,5.2,1.9,,,,0.975,,,,,,,
