year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2009,0.85,,,,,,,,,,,,,,,,,,,
2010,0.85,,,,,,,,,,,,,,,,,,,
2011,0.85,,,,,,,,,,,,,,,,,,,
2012,0.9,,,,,,,,,,,,,,,,,,,
2013,0.92,,,,,,,,,,,,,,,,,,,
2014,0.97,0.063,,,,0.019,0.333,8.7,4.8,,,,0.983,,,,,,,
2015,1.03,0.06,,,,0.021,0.343,7.5,4.3,,,,0.967,,,,,,,
2016,1.02,0.057,,,,0.023,0.396,5.9,4.5,,,,0.962,,,,,,,
2017,1.04,0.056,,,,0.023,0.385,5.6,4,,,,0.963,,,,,,,
2018,1.10,0.051,,,,0.023,0.377,5.6,3.5,,,,0.966,,,,,,,
2019,1.17,0.051,,,,0.027,0.377,4.9,3.8,,,,0.98,,,,,,,
2020,1.21,0.051,,,,0.025,0.393,4.9,4.3,,,,0.98,,,,,,,
2021,1.33,0.048,,,,0.022,0.384,5.1,3.6,,,,0.975,,,,,,,
2022,1.48,0.045,,,,0.022,0.368,4.2,3.5,,,,0.967,,,,,,,
2023,1.44,0.05,,,,0.027,0.368,3.5,3.1,,,,0.97,,,,,,,
