year,NAV,property_yield,property_yield_retail,property_yield_office,property_yield_integrated_development,debt_ratio,gearing_ratio,interest_coverage_ratio,wale,wale_retail,wale_office,wale_integrated_development,occupancy,occupancy_retail,occupancy_office,occupancy_integrated_development,occupancy_sg,occupancy_cn,occupancy_hk,occupancy_aus
2012,1.02,,,,,,,,,,,,,,,,,,,
2013,1.10,,,,,,,,,,,,,,,,,,,
2014,1.20,0.069,,,,0.022,0.344,7.1,2.5,,,,0.928,,,,,,,
2015,1.32,0.07,,,,0.021,0.306,8.1,3.1,,,,0.909,,,,,,,
2016,1.37,0.068,,,,0.024,0.282,8.2,2.8,,,,0.941,,,,,,,
2017,1.41,0.067,,,,0.026,0.292,7.9,3.1,,,,0.924,,,,,,,
2018,1.47,0.072,,,,0.029,0.331,7.1,3.8,,,,0.896,,,,,,,
2019,1.51,0.068,,,,0.03,0.338,6.5,3.6,,,,0.902,,,,,,,
2020,1.62,0.075,,,,0.029,0.376,7.7,4.2,,,,0.915,,,,,,,
2021,1.66,0.066,,,,0.028,0.403,6.4,4,,,,0.937,,,,,,,
2022,1.86,0.073,,,,0.024,0.384,4.8,4.1,,,,0.94,,,,,,,
2023,1.85,0.071,,,,0.035,0.374,4.6,3.9,,,,0.949,,,,,,,
